ce,ganguli,subparva,similarity,note,first_words_ganguli
1.47,1.52,Astika Parva,0.06,,"""Sauti said, 'The snake-sacrifice then commenced according to due form"
1.48,1.53,Astika Parva,0.52,,"""Saunaka asked, 'What great Rishis became the Ritwiks at the snake-sac"
1.49,1.54,Astika Parva,0.48,,"""Sauti said, 'Then the snake-dame Jaratkaru, calling her own son, told"
1.50,1.55,Astika Parva,0.52,,"""Astika said, 'Soma and Varuna and Prajapati performed sacrifices of o"
1.51,1.56,Astika Parva,0.32,,"Janamejaya said, 'Though this one is but a boy, he speaks yet like a w"
1.52,1.57,Astika Parva,0.27,,"""Saunaka said, 'O son of a Suta, I desire to hear the names of all tho"
1.53,1.58;1.59,"Astika Parva,",0.44,,"""Sauti said, 'Listen now to another very wonderful incident in connect"
1.54,1.60,Adivansavatarana Parva,0.52,,"'Sauti said, 'Hearing that Janamejaya was installed in the snake-sacri"
1.55,1.61,Adivansavatarana Parva,0.37,,"""Vaisampayana said, 'Bowing down in the first place to my preceptor wi"
1.56,1.62,Adivansavatarana Parva,0.32,,"""Janamejaya said, 'O excellent Brahmana, thou hast, indeed, told me, i"
1.57,1.63,Adivansavatarana Parva,0.47,,"""Vaisampayana said, 'There was a king of the name of Uparichara. That "
1.58,1.64,Adivansavatarana Parva,0.19,,"""Janamejaya said, 'O Brahmana, those thou hast named and those thou ha"
1.59,1.65,Sambhava Parva,0.54,,"""Vaisampayana said, 'Then Indra had a consultation with Narayana about"
1.60,1.66,Sambhava Parva,0.68,,"""Vaisampayana said, 'It is known that the spiritual sons of Brahman we"
1.61,1.67,Sambhava Parva,0.42,,"""Janamejaya said, 'O worshipful one, I wish to hear from thee in detai"
1.62,1.68,Sambhava Parva,0.36,,"""Janamejaya said, 'O Brahmana, I have, indeed, heard from thee this ac"
1.63,1.69,Sambhava Parva,0.06,,"""Janamejaya said, 'I desire to hear from thee about the birth and life"
1.64,1.70,Sambhava Parva,0.29,,"""Vaisampayana said, 'Then the king with his followers, having killed t"
1.65,1.71,Sambhava Parva,0.48,,"""Vaisampayana said, 'The monarch then, as he proceeded, left even his "
1.66,1.72,Sambhava Parva,0.74,,"Kanwa continued, 'And Sakra, thus addressed by her, then commanded him"
1.67,1.73,Sambhava Parva,0.39,,"""Vaisampayana continued, 'King Dushmanta, hearing all this, said, 'Wel"
1.68,1.74,Sambhava Parva,0.36,,"""Vaisampayana said, 'After Dushmanta had left the asylum having made t"
1.69,1.74,Sambhava Parva,0.24,merged,"""Vaisampayana said, 'After Dushmanta had left the asylum having made t"
1.70,1.75,Sambhava Parva,0.58,,"""Vaisampayana said, 'Hear now, as I recite the recorded genealogy, tha"
1.71,1.76,Sambhava Parva,0.51,,"""Janamejaya said, 'O thou of the wealth of asceticism, tell me how our"
1.72,1.77,Sambhava Parva,0.62,,"""Vaisampayana said, 'After the expiry of the period of his vow, Kacha,"
1.73,1.78,Sambhava Parva,0.51,,"""Vaisampayana said, 'The dwellers in heaven became exceedingly glad in"
1.74,1.79,Sambhava Parva,0.25,,"""Sukra continued, 'Know, then, O Devayani, that he that mindeth not th"
1.75,1.80,Sambhava Parva,0.44,,"""Vaisampayana said, 'Then Kavya, the foremost of Bhrigu's line, became"
1.76,1.81,Sambhava Parva,0.60,,"Vaisampayana said, 'After some length of time, O best of monarchs, Dev"
1.77,1.82,Sambhava Parva,0.59,,"""Vaisampayana said, 'Yayati then, on returning to his capital which wa"
1.78,1.83,Sambhava Parva,0.43,,"""Vaisampayana said, 'When Devayani of sweet smiles heard of the birth "
1.79,1.84,Sambhava Parva,0.29,,"""Vaisampayana said, 'Yayati, then, overcome with decrepitude, returned"
1.80,1.85,Sambhava Parva,0.56,,"""Vaisampayana said, 'The excellent monarch Yayati, the son of Nahusha,"
1.81,1.86,Sambhava Parva,0.21,,"""Vaisampayana said, 'King Yayati, the son of Nahusha, having thus inst"
1.82,1.87,Sambhava Parva,0.20,,"""Vaisampayana said, 'While that king of kings dwelt in heaven--the hom"
1.83,1.88,Sambhava Parva,0.40,,"""Vaisampayana said, 'Alter this Indra again asked Yayati, 'Thou didst "
1.84,1.89,Sambhava Parva,0.24,,"""Yayati said, 'I am Yayati, the son of Nahusha and the father of Puru."
1.85,1.90,Sambhava Parva,0.23,,"""Ashtaka said, 'Capable of assuming any form at will, thou hast lived "
1.86,1.91,Sambhava Parva,0.32,,"""Ashtaka said, 'Those cognisant of the Vedas differ in opinion as to h"
1.87,1.92,Sambhava Parva,0.20,,"""Ashtaka asked, 'Who amongst these, O king, both exerting constantly l"
1.88,1.93,Sambhava Parva,0.21,,"""Vasumat said, 'I am Vasumat, the son of Oshadaswa. I would ask thee, "
1.89,1.94,Sambhava Parva,0.53,,"""Janamejaya said, 'O adorable one, I desire to hear the histories of t"
1.90,1.95,Sambhava Parva,0.65,,"""Janamejaya said, 'O Brahmana, I have now heard from thee this great h"
1.91,1.96,Sambhava Parva,0.58,,"""Vaisampayana said, 'There was a king known by the name of Mahabhisha "
1.92,1.97;1.98,Sambhava Parva,0.38,,"""Vaisampayana said. 'There was a king of the name of Pratipa, who was "
1.93,1.99,Sambhava Parva,0.31,,"""Santanu asked, 'What was the fault of the Vasus and who was Apava, th"
1.94,1.100,Sambhava Parva,0.39,,"""Vaisampayana said, 'The monarch Santanu, the most adored of the gods "
1.95,1.101,Sambhava Parva,0.49,,"""Vaisampayana said, 'O monarch, after the nuptials were over, king San"
1.96,1.102,Sambhava Parva,0.31,,"""Vaisampayana said, 'O thou of Kuru's race, after Chitrangada was slai"
1.97,1.103,Sambhava Parva,0.34,,"""Vaisampayana said, 'The unfortunate Satyavati then became plunged in "
1.98,1.104,Sambhava Parva,0.48,,"""Bhishma continued, 'In olden days, Rama, the son of Jamadagni, in ang"
1.99,1.105,Sambhava Parva,0.37,,"""Bhishma, continued, 'Listen, O mother, to me as I indicate the means "
1.100,1.106,Sambhava Parva,0.41,,"""Vaisampayana said, 'Soon after the monthly season of the princess of "
1.101,1.107;1.108,Sambhava Parva,0.33,,"""Janamejaya said, 'What did the god of justice do for which he was cur"
1.102,1.109,Sambhava Parva,0.44,,"""Vaisampayana said, 'Upon the birth of those three children, Kurujanga"
1.103,1.110,Sambhava Parva,0.43,,"""Bhishma said, 'This our celebrated race, resplendent with every virtu"
1.104,1.111,Sambhava Parva,0.45,,"""Vaisampayana continued, 'There was amongst the Yadavas a chief named "
1.105,1.112;1.113,Sambhava Parva,0.35,,"""Vaisampayana said. 'The large-eyed daughter of Kuntibhoja, Pritha by "
1.106,1.114,Sambhava Parva,0.43,,"""Vaisampayana said, 'Pandu, then, at the command of Dhritarashtra, off"
1.107,1.115;1.116,Sambhava Parva,0.36,,"""Vaisampayana said, 'Meanwhile, O Janamejaya, Dhritarashtra begat upon"
1.108,1.117,Sambhava Parva,0.54,,"""Janamejaya said, 'Please recite the names of Dhritarashtra's sons acc"
1.109,1.118,Sambhava Parva,0.35,,"""Janamejaya said, 'O utterer of Brahma, thou hast recited (everything "
1.110,1.119,Sambhava Parva,0.31,,"""Vaisampayana said, 'After the death of that deer, king Pandu with his"
1.111,1.120,Sambhava Parva,0.27,,"""Vaisampayana said, 'Pandu, possessed of great energy, then devoted hi"
1.112,1.121,Sambhava Parva,0.47,,"""Vaisampayana said, 'Thus addressed, Kunti replied unto her heroic lor"
1.113,1.122,Sambhava Parva,0.44,,"""Vaisampayana said, 'Thus addressed by his loving wife, king Pandu, we"
1.114,1.123,Sambhava Parva,0.50,,"""Vaisampayana said, 'O Janamejaya, when Gandhari's conception had been"
1.115,1.124,Sambhava Parva,0.39,,"""Vaisampayana said, 'After the birth of Kunti's sons and also of the h"
1.116,1.125,Sambhava Parva,0.34,,"""Vaisampayana said, ""Beholding his five handsome sons growing up befor"
1.117,1.126,Sambhava Parva,0.34,,"""Vaisampayana said, 'The godlike Rishis, wise in counsels, beholding t"
1.118,1.127,Sambhava Parva,0.33,,"""Vaisampayana continued, 'Dhritarashtra then said, 'O Vidura, celebrat"
1.119,1.128;1.129,Sambhava Parva,0.25,,"""Vaisampayana said, 'Then Bhishma and Kunti with their friends celebra"
1.120,1.130,Sambhava Parva,0.35,,"""Janamejaya said, 'O Brahmana, it behoveth thee to relate to me everyt"
1.121,1.131,Sambhava Parva,0.37,,"""Vaisampayana said, 'Desirous of giving his grandsons a superior educa"
1.122,1.132;1.133,Sambhava Parva,0.31,,"""Vaisampayana said, 'Then, O king, the mighty son of Bharadyaja presen"
1.123,1.134;1.135,Sambhava Parva,0.45,,"""Vaisampayana said, 'Thus worshipped by Bhishma, Drona, that first of "
1.124,1.136,Sambhava Parva,0.29,,"""Vaisampayana said, 'O thou of Bharata's race, beholding the sons of D"
1.125,1.137,Sambhava Parva,0.26,,"""Vaisampayana continued, 'Upon the Kuru king and Bhima, the foremost o"
1.126,1.138,Sambhava Parva,0.51,,"""Vaisampayana continued, 'When the spectators, with eyes expanded with"
1.127,1.139,Sambhava Parva,0.46,,"""Vaisampayana said, 'After this, with his sheet loosely hanging down, "
1.128,1.140,Sambhava Parva,0.26,,"""Vaisampayana continued, 'Beholding the Pandavas and the son of Dhrita"
1.129,1.141;1.142;1.143,Sambhava Parva,0.29,,"""Vaisampayana continued, 'After the expiration, O king, of a year from"
1.130,1.144,Jatugriha Parva,0.38,,"""Vaisampayana continued, ""King Dhritarashtra whose knowledge only was "
1.131,1.145,Jatugriha Parva,0.45,,"""Vaisampayana said, Then prince Duryodhana, along with his brothers be"
1.132,1.146,Jatugriha Parva,0.58,,"""Vaisampayana said, 'The wicked Duryodhana became very pleased when th"
1.133,1.147,Jatugriha Parva,0.35,,"""Vaisampayana said, 'Meanwhile the Pandavas got into their cars, yokin"
1.134,1.148,Jatugriha Parva,0.50,,"""Vaisampayana said, 'Then all the citizens (of Varanavata) on hearing "
1.135,1.149,Jatugriha Parva,0.27,,"""Vaisampayana continued, 'A friend of Vidura's, well-skilled in mining"
1.136,1.150,Jatugriha Parva,0.43,,"""Vaisampayana said, 'Seeing the Pandavas living there cheerfully and w"
1.137,1.151;1.152,Jatugriha Parva,0.54,,"""Vaisampayana said, 'About this time, the learned Vidura had sent into"
1.138,1.153,Jatugriha Parva,0.14,,"""Vaisampayana said,"" As the mighty Bhima proceeded, the whole forest w"
1.139,1.154,Hidimva-vadha Parva,0.27,,"""Vaisampayana said, 'Not far from the place where the Pandavas were as"
1.140,1.154,Hidimva-vadha Parva,0.22,merged,"""Vaisampayana said, 'Not far from the place where the Pandavas were as"
1.141,1.155,Hidimva-vadha Parva,0.25,,"""Vaisampayana said, 'Hidimva, the chief of the Rakshasas, seeing that "
1.142,1.156,Hidimva-vadha Parva,0.30,,"""Vaisampayana said, 'Roused from sleep, those tigers among men, with t"
1.143,1.157,Hidimva-vadha Parva,0.32,,"""Vaisampayana said, 'Bhima, beholding Hidimva following them, addresse"
1.144,1.158,Hidimva-vadha Parva,0.53,,"""Vaisampayana said, 'Those mighty car-warriors, the heroic Pandavas, t"
1.145,1.159,Vaka-vadha Parva,0.29,,"""Janamejaya asked, 'O first of Brahmanas, what did the Pandavas, those"
1.146,1.160,Vaka-vadha Parva,0.14,,"""Vaisampayana said, ""On hearing these words of the Brahmana, his wife "
1.147,1.161,Vaka-vadha Parva,0.14,,"""Vaisampayana said, 'On hearing these words of her afflicted parents, "
1.148,1.162,Vaka-vadha Parva,0.21,,"'Kunti said, 'I desire to learn from you the cause of this grief, for "
1.149,1.163,Vaka-vadha Parva,0.32,,"""Kunti said, Grieve not at all, O Brahmana, on account of this danger."
1.150,1.164,Vaka-vadha Parva,0.40,,"""Vaisampayana said, 'After Bhima had pledged himself to accomplish the"
1.151,1.165,Vaka-vadha Parva,0.57,,"""Having heard these words of his mother, Yudhishthira said, 'What thou"
1.152,1.166,Vaka-vadha Parva,0.26,,"""Vaisampayana said 'Then Vaka, huge as a mountain, thus broken (on Bhi"
1.153,1.167,Chaitraratha Parva,0.35,,After this citizens returned to their respective houses and the Pandav
1.154,1.168,Chaitraratha Parva,0.44,,"""The Brahmana said, 'At that region where the Ganga entered the plains"
1.155,1.169,Chaitraratha Parva,0.57,,"""The Brahmana continued, 'King Drupada (after this), distressed at hea"
1.156,1.170,Chaitraratha Parva,0.48,,"""Vaisampayana said, 'Hearing these words of the Brahmana, the sons of "
1.157,1.171,Chaitraratha Parva,0.42,,"""Vaisampayana continued, 'Then Kunti spoke unto Bhimasena and Arjuna a"
1.158,1.172,Chaitraratha Parva,0.40,,"""Vaisampayana said, 'After Vyasa had gone away, those bulls among men,"
1.159,1.172,Chaitraratha Parva,0.15,merged,"""Vaisampayana said, 'After Vyasa had gone away, those bulls among men,"
1.160,1.173,Chaitraratha Parva,0.45,,"""Arjuna said, 'Thou hast addressed me (more than once) as Tapatya. I t"
1.161,1.174,Chaitraratha Parva,0.25,,"""The Gandharva continued, 'When that maiden disappeared, that feller o"
1.162,1.174,Chaitraratha Parva,0.06,merged,"""The Gandharva continued, 'When that maiden disappeared, that feller o"
1.163,1.175,Chaitraratha Parva,0.38,,"""The Gandharva continued, 'Saying this, Tapati of faultless features, "
1.164,1.176,Chaitraratha Parva,0.22,,"""Vaisampayana said, 'That bull among the Bharatas, Arjuna, hearing the"
1.165,1.177,Chaitraratha Parva,0.41,,"""Vaisampayana said, 'That bull among the Bharatas, Arjuna, hearing the"
1.166,1.178,Chaitraratha Parva,0.37,,"""The Gandharva continued, 'There was, O Partha, a king in this world, "
1.167,1.178,Chaitraratha Parva,0.21,merged,"""The Gandharva continued, 'There was, O Partha, a king in this world, "
1.168,1.179,Chaitraratha Parva,0.44,,"""The Gandharva continued, 'Beholding his asylum bereft of his children"
1.169,1.180,Chaitraratha Parva,0.47,,"""The Gandharva continued, 'Then, O Partha, Adrisyanti, who had been re"
1.170,1.181,Chaitraratha Parva,0.53,,"""Vasishtha continued, 'The Brahmana lady, thus addressed by them, said"
1.171,1.182,Chaitraratha Parva,0.39,,"""The Gandharva said, 'Vasishtha after this, continued the narration sa"
1.172,1.183,Chaitraratha Parva,0.48,,"""The Gandharva continued, 'The Brahmana sage (Parasara) thus addressed"
1.173,1.184,Chaitraratha Parva,0.44,,"""Arjuna asked, 'What for, O Gandharva, did king Kalmashapada command h"
1.174,1.185,Chaitraratha Parva,0.57,,"""Arjuna asked, 'O Gandharva, thou art acquainted with everything. Tell"
1.175,1.186,Swayamvara Parva,0.53,,"""Vaisampayana said, 'Then those tigers among men--those brothers--the "
1.176,1.187,Swayamvara Parva,0.35,,"""Vaisampayana said, 'Thus addressed by the Brahmanas, the Pandavas, O "
1.177,1.188,Swayamvara Parva,0.52,,"""Dhrishtadyumna said, 'Duryodhana, Durvisaha, Durmukha and Dushpradhar"
1.178,1.189,Swayamvara Parva,0.34,,"""Vaisampayana said, 'Then those youthful princes adorned with ear-ring"
1.179,1.190,Swayamvara Parva,0.19,,"""Vaisampayana continued, 'When all the monarchs had desisted from stri"
1.180,1.191,Swayamvara Parva,0.29,,"""Vaisampayana said, 'When the king (Drupada) expressed his desire of b"
1.181,1.192,Swayamvara Parva,0.54,,"""Vaisampayana said, 'Then those bulls among Brahmanas shaking their de"
1.182,1.193,Swayamvara Parva,0.40,,"""Vaisampayana said, 'Then those illustrious sons of Pritha, on returni"
1.183,1.193,Swayamvara Parva,0.26,merged,"""Vaisampayana said, 'Then those illustrious sons of Pritha, on returni"
1.184,1.194,Swayamvara Parva,0.47,,"""Vaisampayana said, 'When the Kuru princes (Bhima and Arjuna) were wen"
1.185,1.195,Vaivahika Parva,0.32,,"""Vaisampayana said, 'Thus addressed Dhrishtadyumna, that foremost of t"
1.186,1.196,Vaivahika Parva,0.29,,"""Vaisampayana continued, 'The messenger said, 'King Drupada hath, in v"
1.187,1.197,Vaivahika Parva,0.34,,"""Vaisampayana said, 'Then the illustrious king of Panchala, addressing"
1.188,1.198,Vaivahika Parva,0.33,,"""Vaisampayana said, 'Then all the Pandavas and the illustrious king of"
1.189,1.199,Vaivahika Parva,0.25,,"""Vaisampayana said, 'Vyasa continued, 'In days of yore, the celestials"
1.190,1.200,Vaivahika Parva,0.14,,"""Vaisampayana said, 'Drupada, on hearing this, observed, O great Rishi"
1.191,1.201,Vaivahika Parva,0.51,,"""Vaisampayana said, 'King Drupada, after his alliance with the Pandava"
1.192,1.202,Viduragamana Parva,0.41,,"""Vaisampayana said, 'The news was carried unto all the monarchs (who h"
1.193,1.203,Viduragamana Parva,0.44,,"""Vaisampayana said, 'Dhritarashtra replied saying, I desire to do exac"
1.194,1.204,Viduragamana Parva,0.37,,"""Vaisampayana said, 'Thus addressed by Duryodhana, Karna said, 'It dot"
1.195,1.205,Viduragamana Parva,0.29,,"""Vaisampayana said, 'Asked by Dhritarashtra to give his opinion, Bhish"
1.196,1.206,Viduragamana Parva,0.40,,"""Vaisampayana said, 'After Bhishma had concluded, Drona spoke, saying,"
1.197,1.207,Viduragamana Parva,0.44,,"""Vaisampayana said, 'After Drona had ceased, Vidura spoke, saying, 'O "
1.198,1.208,Viduragamana Parva,0.48,,"""Vaisampayana said, 'Hearing these various speeches, Dhritarashtra sai"
1.199,1.209,Viduragamana Parva,0.59,,"""Vaisampayana said, 'Hearing these words of Vidura, Drupada said, 'It "
1.200,1.210,Rajya-labha Parva,0.46,,"""Janamejaya said, 'O thou possessed of ascetic wealth, what did those "
1.201,1.211,Rajya-labha Parva,0.24,,"""Vaisampayana said, 'Hearing these words of Yudhishthira, Narada repli"
1.202,1.212,Rajya-labha Parva,0.19,,"'Narada continued, 'As soon as those festivities came to an end, the b"
1.203,1.213,Rajya-labha Parva,0.42,,"""Narada continued, 'Then the celestial Rishis, the Siddhas, and the hi"
1.204,1.214,Rajya-labha Parva,0.36,,"""Narada continued, 'Meanwhile the Asura brothers having subjugated the"
1.205,1.215,Arjuna-vanavasa Parva,0.29,,"""Vaisampayana said, 'The Pandavas, having established such a rule, con"
1.206,1.216,Arjuna-vanavasa Parva,0.32,,"""Vaisampayana said, 'When that spreader of the renown of Kuru's race, "
1.207,1.217,Arjuna-vanavasa Parva,0.44,,"""Vaisampayana said, 'Then the son of the wielder of the thunderbolt na"
1.208,1.218,Arjuna-vanavasa Parva,0.55,,"""Vaisampayana said, 'Then that bull of Bharata's race went to the sacr"
1.209,1.219,Arjuna-vanavasa Parva,0.21,,"""Vaisampayana said, 'Varga continued, 'We were then, O foremost one of"
1.210,1.220,Arjuna-vanavasa Parva,0.45,,"""Vaisampayana said, 'Then Arjuna of immeasurable prowess saw, one afte"
1.211,1.221,Subhadra-harana Parva,0.51,,"""Vaisampayana said, 'O best of monarchs, within a few days after this,"
1.212,1.222,Subhadra-harana Parva,0.31,,"""Vaisampayana said, 'Then Dhananjaya, informed of the assent of Yudhis"
1.213,1.223,Haranaharana Parva,0.55,,"""Vaisampayana said, 'When the heroes of the Vrishni race began to spea"
1.214,1.224,Khandava-daha Parva,0.28,,"""Vaisampayana said, 'The Pandavas, after they had taken up their abode"
1.215,1.225;1.226,Khandava-daha Parva,0.29,,"""Vaisampayana said, 'Then that Brahmana addressed Arjuna and Vasudeva "
1.216,1.227,Khandava-daha Parva,0.42,,"""Vaisampayana, said, 'Thus addressed by Arjuna, the smoke-bannered Hut"
1.217,1.228,Khandava-daha Parva,0.30,,"""Vaisampayana said, 'Then those foremost of car-warriors (Krishna and "
1.218,1.229,Khandava-daha Parva,0.42,,"""Vaisampayana said, 'Then Vibhatsu, the son of Pandu, invoking his exc"
1.219,1.230,Khandava-daha Parva,0.40,,"""Vaisampayana said, 'Then the inhabitants of the forest of Khandava, t"
1.220,1.231,Khandava-daha Parva,0.56,,"""Janamejaya said, 'O Brahmana, tell me why and when that forest burnt "
1.221,1.232,Khandava-daha Parva,0.13,,"""Vaisampayana said, 'When the fire blazed forth in the forest of Khand"
1.222,1.233,Khandava-daha Parva,0.35,,"""Vaisampayana said, 'Hearing those words of her sons Jarita continued,"
1.223,1.234,Khandava-daha Parva,0.22,,"""Jaritari said, 'The person that is wise remaineth wakeful in view of "
1.224,1.235,Khandava-daha Parva,0.64,,"""Vaisampayana said, 'O thou of Kuru's race, the Rishi Mandapala became"
1.225,1.236,Khandava-daha Parva,0.47,,"""Vaisampayana said, 'Mandapala then addressed his children, saying, 'I"
2.1,2.1,Sabhakriya Parva,0.37,,"Om! After having bowed down to Narayana, and Nara, the most exalted ma"
2.2,2.2,Sabhakriya Parva,0.37,,"""Vaisampayana said,--""Janardana deserving the worship of all, having l"
2.3,2.3,Sabhakriya Parva,0.38,,"""Vaisampayana said,--""Then Maya Danava addressed Arjuna, that foremost"
2.4,2.4,Sabhakriya Parva,0.50,,"""Vaisampayana said,--""Then that chief of men, king Yudhishthira, enter"
2.5,2.5,Lokapala Sabhakhayana Parva,0.17,,"""Vaisampayana said,--""While the illustrious Pandavas were seated in th"
2.6,2.6,Lokapala Sabhakhayana Parva,0.39,,"""Vaisampayana said,--At the conclusion of Narada's words, king Yudhish"
2.7,2.7,Lokapala Sabhakhayana Parva,0.43,,"""Narada said,--the celestial assembly room of Sakra is full of lustre."
2.8,2.8,Lokapala Sabhakhayana Parva,0.45,,"""Narada said,--'O Yudhisthira, I shall now describe the assembly house"
2.9,2.9,Lokapala Sabhakhayana Parva,0.49,,"'Narada said--O Yudhishthira, the celestial Sabha of Varuna is unparal"
2.10,2.10,Lokapala Sabhakhayana Parva,0.33,,"""Narada said,--'Possessed of great splendour, the assembly house of Va"
2.11,2.11;2.12,Lokapala Sabhakhayana Parva,0.26,,"""Narada said,--Listen to me, O child, as I tell thee of the assembly h"
2.12,2.13,Lokapala Sabhakhayana Parva,0.34,,"Vaisampayana said,--""Yudhishthira, having heard these words of Narada,"
2.13,2.14,Rajasuyarambha Parva,0.48,,"""Krishna said,--'O great king, thou art a worthy possessor of all the "
2.14,2.15,Rajasuyarambha Parva,0.32,,"""Yudhishthira said,--""Intelligent as thou art, thou hast said what non"
2.15,2.16,Rajasuyarambha Parva,0.22,,"""Yudhishthira said,--'Desirous of the imperial dignity but acting from"
2.16,2.17,Rajasuyarambha Parva,0.25,,"""Vasudeva said,--'Arjuna hath indicated what the inclination should be"
2.17,2.18;2.19,Rajasuyarambha Parva,0.21,,"""Krishna continued,--'hearing these words of the king, the Rakshasa wo"
2.18,2.20,Jarasandhta-badha Parva,0.41,,"""Krishna said,--both Hansa and Dimvaka have fallen; Kansa also with al"
2.19,2.21,Jarasandhta-badha Parva,0.44,,"""Vasudeva said,--'behold, O Partha, the great capital of Magadha, stan"
2.20,2.22,Jarasandhta-badha Parva,0.33,,"""Jarasandha said,--'I do not recollect if I ever acted injuriously tow"
2.21,2.23,Jarasandhta-badha Parva,0.34,,"Vaisampayana said,--'then that foremost of all speakers, Krishna of th"
2.22,2.24,Jarasandhta-badha Parva,0.38,,"Vaisampayana said,--""thus addressed, Bhima firmly resolved upon slayin"
